LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,Postcode,Day_Length,Seats,X,Y,Email,MEALS,Website,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
K034,DOE,K,P.S. 034 Oliver H Perry,,718-389-5842,131 Norman Ave,11222,1,18,998184,203901,casselt@schools.nyc.gov,2,http://ps34.org,3,3,14K034,40.726135,-73.949649,1,33,573,3065733,3026220028,Greenpoint                                                                 
K325,DOE,K,The Fresh Creek School,,718-272-1843,875 Williams Ave,11207,1,54,1013506,177584,jdanver@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/19/k325,3,3,19K325,40.654031,-73.894854,18,42,982,3229155,3081580035,Canarsie                                                                   
KBPZ,NYCEEC,K,"Star America, Inc.",,718-431-2545,880 60th St,11220,1,72,982127,170308,Starbrooklyn880@yahoo.com,3,,7,1,20KBPZ,40.634528,-74.007977,12,38,118,3347466,3057147501,Sunset Park East                                                           
K243,DOE,K,P.S. 243k - The Weeksville School,,718-604-6909,1580 Dean St,11213,1,36,1002118,185508,khambri@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/16/k243,3,3,16K243,40.676094,-73.935688,8,36,309,3035761,3013470001,Crown Heights North                                                        
KCJX,NYCEEC,K,Mohdc - Smart Start,,718-915-3015,533 Blake Ave,11207,1,108,1012214,182425,rayed@mohdc.com,5,,9,3,19KCJX,40.667194,-73.89922,5,42,1134,3084260,3037670001,East New York (Pennsylvania Ave)                                           
KBDX,NYCEEC,K,BAbove Worldwide Institute - Tomer Devorah,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,347-402-5734,4500 9 Ave,11220,1,30,984552,173372,cklein@babove.com,3,,5,1,15KBDX,40.642505,-73.998692,12,38,94,3337205,3007510048,Sunset Park East                                                           
K081,DOE,K,P.S. 081 Thaddeus Stevens,,718-574-2365,990 Dekalb Ave,11221,1,36,1002239,191774,CAultBarker@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/16/k081,3,1,16K081,40.693161,-73.935765,3,36,289,3043248,3016020019,Stuyvesant Heights                                                         
K028,DOE,K,P.S. 028 The Warren Prep Academy,,718-467-2865,1001 Herkimer St,11233,1,18,1006403,186449,,2,http://schools.nyc.gov/schoolportals/16/k028,3,3,16K028,40.678049,-73.92032,3,41,301,3042090,3015480019,Ocean Hill                                                                 
KBMB,NYCEEC,K,Audrey Johnson DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-574-0130,272 Moffat St,11207,1,74,1010815,190492,audreyjo272@aol.com,2,http://lifetech.org,3,2,32KBMB,40.689834,-73.904137,4,37,409,3080179,3034480015,Bushwick North                                                             
K058,DOE,K,P.S. 058 The Carroll,,718-330-9322,330 Smith St,11231,1,54,985512,187171,kdellostritto2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/15/k058,3,3,15K058,40.680149,-73.994938,6,39,77,3007547,3004490015,Carroll Gardens-Columbia Street-Red Hook                                   
K026,DOE,K,P.S. 026 Jesse Owens,,718-919-5707,1014 Lafayette Ave,11221,1,18,1003289,191351,ccelest@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/16/k026,3,3,16K026,40.692126,-73.931731,3,36,291,3393805,3016160001,Stuyvesant Heights                                                         
KBQG,NYCEEC,K,M.S. Sunshine DCC,,718-648-8786,3096 Brighton 6th St,11235,1,35,994935,149503,mila2005yu@yahoo.com,7,,8,1,21KBQG,40.577079,-73.961363,13,48,36002,3245100,3086890045,Brighton Beach                                                             
KCJK,NYCEEC,K,Lpbc Day Care,,718-621-5458,7524 14th Ave,11228,1,19,982608,164657,llv9005@msn.com,5,http://lpbcdaycareupk.webs.com,7,1,20KCJK,40.618784,-74.005436,10,43,198,3160022,3062220045,Dyker Heights                                                              
KCNK,NYCEEC,K,Learn And Explore,,718-513-3600,330 Neptune Ave,11235,1,54,993934,150819,info@learnandexplore1.com,5,http://learnandexplore1.com,9,3,21KCNK,40.58084,-73.965177,13,48,364,3244337,3086630247,Brighton Beach                                                             
KBLI,NYCEEC,K,Young Minds DCC,,718-622-8622,972 Fulton St,11238,1,20,994766,187859,msmith@fortgreenecouncil.org,3,http://facebook.com/fgcyoungminds,4,1,13KBLI,40.682446,-73.961984,2,35,201,3057638,3020140026,Clinton Hill                                                               
K208,DOE,K,P.S. 208 Elsa Ebeling,,718-629-1670,4801 Ave D,11203,1,36,1003436,173291,NRenville@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/18/k208,3,3,18K208,40.642031,-73.931151,17,45,840,3105680,3047690025,East Flatbush-Farragut                                                     
KBMN,NYCEEC,K,Brooklyn Free Space,,718-965-3135,298 Sixth Ave,11215,1,28,989580,184175,mikia@brooklynfreespace.org,8,http://brooklynfreespace.org,2,1,15KBMN,40.672171,-73.980504,6,39,135,3020951,3009750039,Park Slope-Gowanus                                                         
KBNK,NYCEEC,K,Bedford Stuyvesant ECDC 262,,718-453-0760,262 Lexington Ave,11216,3,30,997668,189692,foxcasalk@bsecdc.org,3,,7,1,13KBNK,40.687597,-73.951574,3,36,243,3050588,3018020051,Bedford                                                                    
K200,DOE,K,P.S. 200 Benson School,,718-236-5466,1940 Benson Ave,11214,1,36,983788,158980,jmuniz@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/20/k200,1,3,20K200,40.603188,-74.001408,11,43,282,3167818,3064070008,Bath Beach                                                                 
KCJN,NYCEEC,K,Stillwell Avenue Prep School,,718-232-3628,6420 Bay Pkwy,11204,1,40,989394,163034,stillwellprep@yahoo.com,3,,7,1,20KCJN,40.614276,-73.981,11,47,254,3133705,3055500038,Bensonhurst West                                                           
K197,DOE,K,P.S. 197 - The Kings Highway Academy,,718-377-7890,1599 East 22 St,11210,1,72,997690,162462,rnicole@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k197,3,3,22K197,40.612623,-73.951906,14,48,546,3182169,3067690018,Midwood                                                                    
KBKY,NYCEEC,K,"Infant And Child Learning Center, The",,718-675-1249,670 Parkside Ave,11226,1,18,997762,178269,Margot.Sigmone@Downstate.edu,3,http://iclcdownstate.com,3,1,17KBKY,40.656185,-73.951251,9,40,820,3116057,3050570029,Prospect Lefferts Gardens-Wingate                                          
Z075,DOE,K,Pre - K Center At 21 Bay 11th Street,,212-637-8000,21 Bay 11th St,11214,1,260,981971,161531,pre-k@schools.nyc.gov,5,,9,3,20Z075,40.609976,-74.008608,11,43,172,3336436,3063620029,Bath Beach                                                                 
KBDC,NYCEEC,K,Cypress Hills CCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-647-5005,108 Pne St,11208,1,38,1019317,188487,Jeromebass@yahoo.com,3,http://cypresshillschildcare.org,7,1,19KBDC,40.68407,-73.873386,5,37,117602,3327214,3041290008,Cypress Hills-City Line                                                    
KCPF,NYCEEC,K,Sarah Winner Daycare,,917-804-8284,2997 Ocean Pkwy,11235,1,12,993251,149815,sarahwinner30@gmail.com,5,,9,3,21KCPF,40.577413,-73.968267,13,48,362,3244597,3086690088,Brighton Beach                                                             
K164,DOE,K,P.S. 164 Caesar Rodney,,718-854-4100,4211 14 Ave,11219,1,46,988177,171416,esteinberg@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/20/k164,7,3,20K164,40.637486,-73.985955,12,44,232,3135976,3056000001,Borough Park                                                               
KAYS,NYCEEC,K,Hawthorne Corners DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-282-7200,1950 Bedford Ave,11225,1,15,996233,178733,cornersdcc@verizon.net,3,,6,1,17KAYS,40.65734,-73.956559,9,40,79601,3115676,3050450051,Prospect Lefferts Gardens-Wingate                                          
KASR,NYCEEC,K,Glennwood Avenue Head Start,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-859-7720,3017 Glenwood Rd,11210,1,69,998938,170343,glenwood3017@gmail.com,3,,3,1,22KASR,40.634022,-73.947517,17,45,786,3113939,3050050001,Flatbush                                                                   
K251,DOE,K,P.S. 251 Paerdegat,,718-251-4110,1037 East 54 St,11234,1,90,1005337,169271,sboyer@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k251,3,3,22K251,40.632524,-73.924417,18,46,722,3214729,3077580001,Flatlands                                                                  
K177,DOE,K,P.S. 177 The Marlboro,,718-375-9506,346 Ave P,11204,1,36,991336,160937,scaleca@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/21/k177,3,3,21K177,40.608604,-73.974847,11,44,424,3175834,3066310001,Bensonhurst East                                                           
KBGP,NYCEEC,K,Great Oaks Academy,,718-915-3015,4718 Farragut Rd,11203,1,54,1003385,171412,rayed@mohdc.com,5,http://mohdcsmartstart.com,9,3,18KBGP,40.637305,-73.931174,17,45,932,3327647,3047860005,East Flatbush-Farragut                                                     
KBUV,NYCEEC,K,Helen Owen Carey CDC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-638-4100,71 Lincoln Pl,11217,1,72,990467,185964,PSNHOC@universitysettlement.org,3,http://universitysettlement.org,3,1,13KBUV,40.67696,-73.977727,6,39,131,3019440,3009470054,Park Slope-Gowanus                                                         
KANX,NYCEEC,K,Yeshiva Karlin Stolin,,718-232-7800,1801 55th St,11204,1,36,988679,166928,dstein@yks.edu,3,,6,2,21KANX,40.624695,-73.984056,12,44,470,3130561,3054870001,Borough Park                                                               
K651,CHARTER,K,Pave Academy Charter School,,917-803-0380,76 Lorraine St,11231,1,36,982340,184973,cwestendarp@paveacademy.org,5,,9,3,84K651,40.674385,-74.006886,6,38,53,3338801,3005800016,Carroll Gardens-Columbia Street-Red Hook                                   
KBBL,NYCEEC,K,St. Peter's Preschool,,718-647-1014,109 Highland Pl,11208,1,83,1017187,188019,claradv@aol.com,2,,2,1,19KBBL,40.682594,-73.881465,5,37,1174,3087344,3039300032,Cypress Hills-City Line                                                    
KCKU,NYCEEC,K,Promise World Daycare,,718-743-2828,1968 Ocean Ave,11230,1,28,996885,162953,yelena011@gmail.com,5,,9,3,22KCKU,40.614194,-73.954225,14,48,546,3181619,3067570046,Midwood                                                                    
KBVC,NYCEEC,K,Nuestros Ninos DCC I,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-218-8275,384 South 4th St,11211,1,35,997413,197193,NuestrosNinosCDS@aol.com,5,,9,3,14KBVC,40.708084,-73.952515,1,34,527,3063507,3024510008,North Side-South Side                                                      
K038,DOE,K,P.S. 038 The Pacific,,718-330-9305,450 Pacific St,11217,1,126,988968,188868,yramire4@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/15/k038,3,1,15K038,40.685264,-73.982639,2,33,39,3001183,3001910001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
KABC,NYCEEC,K,Bais Sarah School,,718-871-7571,6101 16 Ave,11204,1,60,986288,166574,baissarahupk@verizon.net,5,,9,3,20KABC,40.624186,-73.99263,11,44,248,3132384,3055240001,Bensonhurst West                                                           
KCOX,NYCEEC,K,Little Hands And Feet School,,718-680-5437,1270 Bay Rdg Pkwy,11228,1,13,982011,165313,soos016@aol.com,5,http://littlehandsandfeetdaycare.com,9,3,20KCOX,40.620763,-74.008202,10,43,200,3159952,3062217501,Dyker Heights                                                              
K229,DOE,K,P.S. 229 Dyker,,718-236-5447,1400 Benson Ave,11228,1,30,980558,161737,rzappul@schools.nyc.gov,2,http://ps229.org,3,3,20K229,40.610963,-74.013376,11,43,170,3167212,3063910024,Bath Beach                                                                 
KBJJ,NYCEEC,K,LSSMNY : Early Life Children's Center 8,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,347-689-8303,265 Marcus Garvey Blvd,11221,1,50,1001191,190131,SALLEYNE@LSSNY.ORG,3,http://early-life.org,1,1,16KBJJ,40.68862,-73.939152,3,36,279,3044209,3016240001,Stuyvesant Heights                                                         
K262,DOE,K,P.S. 262 El Hajj Malik El Shabazz Elementary School,,718-453-0780,500 Macon St,11233,1,18,1003788,188160,igarner@schools.nyc.gov,3,http://ps262.org/home.aspx,3,1,16K262,40.683241,-73.930813,3,36,297,3046876,3016710019,Crown Heights North                                                        
K132,DOE,K,P.S. 132 The Conselyea School,,718-599-7301,320 Manhattan Ave,11211,1,72,999251,199688,blubeck@schools.nyc.gov,2,http://ps132andyou.net,3,3,14K132,40.71466,-73.946108,1,34,497,3068728,3027590001,East Williamsburg                                                          
K204,DOE,K,P.S. 204 Vince Lombardi,,718-236-2906,8101 15 Ave,11228,1,36,982425,162902,jlogosso@schools.nyc.gov,5,http://schools.nyc.gov/schoolportals/20/k204,9,3,20K204,40.614159,-74.006638,11,43,184,3163702,3062940001,Bensonhurst West                                                           
Z064,DOE,K,Pre - K Center At 3610 Glenwood Road,,212-637-8000,3610 Glenwood Rd,11218,1,144,1000492,170333,pre-k@schools.nyc.gov,5,,9,3,22Z064,40.63436,-73.941795,17,45,784,3206141,3075640047,East Flatbush-Farragut                                                     
Z013,DOE,K,Pre - K Center At 1668 46th Street,,212-637-8000,1668 46th St,11204,1,180,989239,169329,pre-k@schools.nyc.gov,5,,9,3,20Z013,40.631768,-73.98221,12,44,476,3324164,3054370038,Borough Park                                                               
KBUW,NYCEEC,K,St. Malachy ECDC,,718-647-0966,220 Hendrix St,11207,1,20,1014559,185982,ljohnson@ccbq.org,3,http://ccbq.org,3,2,19KBUW,40.677064,-73.890502,5,37,1198,3327068,3039470005,East New York                                                              
K219,DOE,K,P.S. 219 Kennedy - King,,718-342-0493,1060 Clarkson Ave,11212,1,72,1005716,179426,wsmith4@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/18/k219,2,3,18K219,40.659288,-73.922919,17,41,886,3101168,3046480001,Rugby-Remsen Village                                                       
KBJZ,NYCEEC,K,Saratoga II - Shirley Chisholm Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-443-4100,69 Saratoga Ave,11233,1,89,1007192,188674,ddavidson@sco.org,3,http://sco.org,7,1,23KBJZ,40.684487,-73.917493,16,41,373,3040195,3014980006,Ocean Hill                                                                 
K532,DOE,K,New Bridges Elementary,,718-363-8200,1025 Eastern Pkwy,11213,1,90,1002508,183178,kevyn@ps532newbridges.org,2,http://schools.nyc.gov/schoolportals/17/k532,3,3,17K532,40.669001,-73.934635,8,35,353,3037303,3013890035,Crown Heights North                                                        
KBOZ,NYCEEC,K,Blake & Milford DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-277-2003,334 Milford St,11208,1,18,1018537,183743,Blakeandmilforddaycare@yahoo.com,3,http://blakeandmilforddaycare.com,6,1,19KBOZ,40.670868,-73.876187,5,42,1194,3393496,3040560145,East New York                                                              
K305,DOE,K,P.S. 305 Dr. Peter Ray,,718-789-3962,344 Monroe St,11216,1,18,999466,189159,jmortle@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/13/k305,3,3,13K305,40.686076,-73.945229,3,36,265,3051458,3018190014,Bedford                                                                    
KBLB,NYCEEC,K,Friends Of Crown Heights 18,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,929-234-2955,851 Liberty Ave,11208,1,35,1018073,186044,dkny5107@aol.com,7,http://fochdaycare.org,3,1,19KBLB,40.677112,-73.878165,5,37,1192,3088473,3039760070,East New York                                                              
KBUL,NYCEEC,K,Brooklyn Chinese American Assoc.,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-331-8809,6409 20 Ave,11204,1,35,988328,163974,michelleluo98@hotmail.com,3,,6,1,20KBUL,40.616996,-73.985354,11,47,254,3133622,3055490005,Bensonhurst West                                                           
KCNU,NYCEEC,K,Learning Zone,,718-820-2442,1729 Rockaway Pkwy,11236,1,12,1013265,172204,learningzonechildcare@gmail.com,5,http://learningzonekids.com,9,3,18KCNU,40.639342,-73.895847,18,46,1012,3231833,3082430018,Canarsie                                                                   
KAJD,NYCEEC,K,St. Anselm Catholic Academy,,718-745-7643,365 83 St,11209,1,72,976536,167089,jmckeon@diobrook.org,5,http://www.sacany.org/,9,3,20KAJD,40.625297,-74.028499,10,43,62,3152079,3060070053,Bay Ridge                                                                  
KAXW,NYCEEC,K,"Highlights Academy, Inc.",,718-953-5555,1688 President St,11213,1,40,1003224,182225,highlightsacademy@yahoo.com,3,http://highlightsacademyinc.com,8,1,17KAXW,40.667031,-73.931702,9,35,351,3037942,3014080037,Crown Heights North                                                        
KCPL,NYCEEC,K,Brooklyn Star Daycare Inc.,,718-934-0075,2175 East 22 St,11229,1,36,998422,157212,brooklynstardaycare@gmail.com,5,,9,3,22KCPL,40.598231,-73.94918,15,48,576,3199915,3073550053,Madison                                                                    
K139,DOE,K,P.S. 139 Alexine A Fenty,,718-282-5254,330 Rugby Rd,11226,1,54,993758,172958,mmcdona10@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k139,7,3,22K139,40.641937,-73.965523,14,40,1522,3328235,3051440064,Flatbush                                                                   
KCPR,NYCEEC,K,Bam Bam's Playhouse,,347-613-9475,714 Banner Ave,11235,1,18,995143,151756,bam.bams.daycare1@gmail.com,5,,9,3,21KCPR,40.583372,-73.960816,13,48,366,3196537,3072640045,Brighton Beach                                                             
KBMM,NYCEEC,K,Brooklyn Chinese - American Assoc.,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-438-0008,812 54th St,11220,1,85,982644,171900,Upk@bca.net,3,http://bca.net,8,2,20KBMM,40.638557,-74.005531,12,38,106,3139119,3056720011,Sunset Park East                                                           
KAPM,NYCEEC,K,Yeshiva Toras Emes,,718-375-0900,1904 Ave N,11230,3,18,996604,163668,yetoem@aol.com,5,,9,3,22KAPM,40.616053,-73.95557,14,48,546,3398189,3067570001,Midwood                                                                    
K016,DOE,K,P.S. 016 Leonard Dunkly,,718-782-5352,157 Wilson St,11211,1,72,994790,196466,mrenny@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/14/k016,3,3,14K016,40.706023,-73.961476,1,33,535,3059906,3021770001,Williamsburg                                                               
K199,DOE,K,P.S. 199 Frederick Wachtel,,718-339-1422,1100 Elm Ave,11230,1,36,994497,163891,21k199@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/21/k199,3,3,21K199,40.616632,-73.963476,14,48,768,3180761,3067400025,Midwood                                                                    
KBMG,NYCEEC,K,Williamsburg Northside Pre - School,,718-599-7300,299 North 7th St,11211,3,58,997350,199773,tsmith@willnorth.org,8,http://willnorth.org,4,2,14KBMG,40.71488,-73.952965,1,33,519,3062015,3023230045,North Side-South Side                                                      
KBNL,NYCEEC,K,Bedford Stuyvesant ECDC 265,,718-455-5565,813 Hancock St,11233,3,48,1005651,189151,mimsd@bsecdc.org,3,,7,1,16KBNL,40.685698,-73.922579,3,41,375,3039902,3014870074,Stuyvesant Heights                                                         
K009,DOE,K,P.S. 009 Teunis G Bergen,,718-638-3260,80 Underhill Ave,11238,1,90,993700,186368,sdavila@schools.nyc.gov,2,http://ps9brooklyn.org,3,3,13K009,40.678297,-73.965541,8,35,205,3028204,3011450026,Prospect Heights                                                           
K327,DOE,K,P.S. 327 Dr. Rose B English,,718-495-7801,111 Bristol St,11212,1,36,1008639,182807,kchance@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/23/k327,3,3,23K327,40.668475,-73.912351,16,41,924,3081032,3035200008,Brownsville                                                                
KBXV,NYCEEC,K,Yeled V'Yalda 6012,,718-209-1122,6002 Farragut Rd,11236,3,91,1006863,171572,hthau@yeled.org,3,,3,1,18KBXV,40.637519,-73.919057,18,46,950,3406498,3079820040,Canarsie                                                                   
KASZ,NYCEEC,K,East Midwood Hebrew Day School,,718-253-1555,1256 East 21st St,11210,1,34,996742,166085,regina2@emhds.org,3,http://emhds.org,3,2,22KASZ,40.622596,-73.954755,14,45,760,3208324,3076200057,Midwood                                                                    
KAJW,NYCEEC,K,St. Francis Of Assisi,,718-778-3700,400 Lincoln Rd,11225,1,36,998382,180267,c14upk@yahoo.com,5,http://sfabrooklyn.org,3,1,17KAJW,40.661638,-73.949441,9,40,804,3106502,3047910023,Prospect Lefferts Gardens-Wingate                                          
KAHA,NYCEEC,K,Masores Bais Yaakov,,718-692-2424,1395 Ocean Ave,11230,3,60,996304,168211,g.celnik@masores.com,5,,9,3,22KAHA,40.628339,-73.956881,14,45,772,3206224,3075660006,Flatbush                                                                   
KBNO,NYCEEC,K,Billy Martin CDC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-857-5630,333 Classon Ave,11205,1,18,995371,190628,billymartin333@yahoo.com,5,,9,3,13KBNO,40.689768,-73.960169,3,35,233,3321871,3019380001,Bedford                                                                    
K066,DOE,K,P.S. 66,,718-922-3505,845 East 96 St,11236,1,18,1010047,175668,ljackso17@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/18/k066,3,3,18K066,40.64883,-73.907774,18,42,970,3325418,3081290060,Canarsie                                                                   
K253,DOE,K,P.S. 253,,718-332-3331,601 Oceanview Ave,11235,1,36,994847,150547,lsperon@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/21/k253,3,3,21K253,40.579607,-73.962071,13,48,364,3244470,3086660610,Brighton Beach                                                             
K129,CHARTER,K,Success Academy Charter School - Cobble Hill Pre - Kindergarten,,718-704-1460,284 Baltic St,11201,1,18,986088,188932,SACH.MainOffice@saschools.org,5,http://successacademies.org/schools/cobble-hill/,9,3,15K129,40.685419,-73.993351,6,33,69,3006401,3004020001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
KCPY,NYCEEC,K,Tiny Bumblebees,,718-975-3232,2848 Brighton 7 St,11235,1,11,994744,151313,farida.jafri@gmail.com,5,,9,3,21KCPY,40.582365,-73.962105,13,48,366,3392249,3000000000,Brighton Beach                                                             
KAFZ,NYCEEC,K,HIDEC,,718-377-7507,1401 Ave I,11230,1,48,994623,167956,hidec@verizon.net,3,,3,2,21KAFZ,40.627493,-73.962638,14,45,530,3179326,3066980051,Midwood                                                                    
K040,DOE,K,P.S. 040 George W Carver,,718-574-2353,265 Ralph Ave,11233,1,36,1005913,187134,lhibber@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/16/k040,3,3,16K040,40.680463,-73.922264,3,41,379,3041214,3015180001,Stuyvesant Heights                                                         
K250,DOE,K,P.S. 250 George H Lindsay,,718-384-0889,108 Montrose Ave,11206,1,36,999425,196814,nbarnes2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/14/k250,7,3,14K250,40.707104,-73.945475,1,34,505,3071199,3030600001,East Williamsburg                                                          
K135,DOE,K,P.S. 135 Sheldon A Brookner,,718-693-4363,684 Linden Blvd,11203,1,36,1002848,177315,tmcrae2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/18/k135,7,3,18K135,40.65364,-73.933114,17,41,870,3102005,3046730001,East Flatbush-Farragut                                                     
K147,DOE,K,P.S. 147 Isaac Remsen,,718-497-0326,325 Bushwick Ave,11206,1,54,1001203,196190,snoyola@schools.nyc.gov,3,http://ps147brooklyn.org/,3,3,14K147,40.705204,-73.939407,1,34,485,3071418,3030910001,Bushwick South                                                             
K627,DOE,K,Brighter Choice Community School,,718-574-2378,280 Hart St,11206,1,18,1000626,192069,fmcintosh2@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/16/k627,3,3,16K627,40.694086,-73.940744,3,36,281,3049420,3017730014,Stuyvesant Heights                                                         
KBAY,NYCEEC,K,Bet Yaakov Ateret Torah,,718-375-7100,2166 Coney Is Ave,11223,3,40,994746,159360,psoffice@ateret.net,4,,3,1,21KBAY,40.6042,-73.961654,15,48,416,3394079,3066850034,Homecrest                                                                  
KCHX,NYCEEC,K,Dezzenterprise LLC,,917-207-2438,3524 Neptune Ave,11224,1,12,983726,149443,info@dezzenterprise.com,3,http://dezzenterprise.com,4,2,21KCHX,40.577077,-74.001444,13,47,328,3188708,3070050002,Seagate-Coney Island                                                       
KCJZ,NYCEEC,K,COPO Prek Program,,718-434-3266,1083 Coney Is Ave,11230,1,18,993635,169229,fhaq@copousa.org,3,http://copousa.org,7,2,22KCJZ,40.631035,-73.966433,14,45,528,3178915,3066860076,Flatbush                                                                   
KCGT,NYCEEC,K,Gold Material Montessori School,,718-801-2155,105 Kings Hwy,11214,1,40,987606,160196,maksim@goldmaterial.com,5,http://goldmaterial.com,9,3,21KCGT,40.606196,-73.987791,11,44,428,3329040,3062537502,Bensonhurst East                                                           
K084,DOE,K,P.S. 084 Jose De Diego,,718-384-8063,250 Berry St,11211,1,72,994436,199724,srodrig12@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/14/k084,3,3,14K084,40.714785,-73.963,1,34,551,3062766,3023910001,North Side-South Side                                                      
KCJY,NYCEEC,K,Angel ECDC,,718-259-0888,1436 67th St 1st Floor,11219,1,32,984335,166178,angeldaycare67@gmail.com,7,,7,1,20KCJY,40.622942,-73.999643,11,43,190,3142954,3057690023,Bensonhurst West                                                           
KCDM,NYCEEC,K,Butterfly DCC,,718-646-6272,2770 East 16th St,11235,1,20,997337,152095,sgontchar@yahoo.com,7,http://butterflydaycarecenter.com,7,1,21KCDM,40.584237,-73.952711,15,48,608,3246964,3087690036,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
KAOV,NYCEEC,K,Yeshiva Ohr Shraga,,718-252-7777,1102 Ave L,11230,1,28,994249,165097,generaloffice@ohrshraga.org,3,http://ohrshraga.org,3,1,21KAOV,40.619994,-73.964101,14,44,768,3329237,3067310001,Midwood                                                                    
K059,DOE,K,P.S. 059 William Floyd,,718-443-3600,211 Throop Ave,11206,1,36,999930,193336,dbest2@schools.nyc.gov,3,http://schools.nyc.gov/schoolportals/14/k059,3,3,14K059,40.696733,-73.943652,3,36,28502,3048546,3017490001,Stuyvesant Heights                                                         
KBOP,NYCEEC,K,Traditional DCC,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,917-306-2070,1112 Winthrop St,11212,1,36,1005645,180421,marishaking@gmail.com,5,,9,3,18KBOP,40.662008,-73.923061,17,41,884,3100654,3046310007,Rugby-Remsen Village                                                       
KBJL,NYCEEC,K,Saratoga - Morris Koppelman Center,<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-345-6666,774 Saratoga Ave,11212,1,40,1007616,180367,SAndrews@sco.org,3,http://sco.org,3,1,23KBJL,40.661915,-73.915578,16,41,894,3326658,3035680001,Brownsville                                                                
K089,DOE,K,P.S. 089 Cypress Hills,,718-964-1180,265 Warwick St,11207,1,18,1015669,186210,vrodrig4@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/19/k089,7,3,19K089,40.677697,-73.886936,5,37,1170,3397079,3039520047,East New York                                                              
K217,DOE,K,P.S. 217 Colonel David Marcus School,,718-434-6960,1100 Newkirk Ave,11230,1,54,993573,170160,fconti@schools.nyc.gov,2,http://schools.nyc.gov/schoolportals/22/k217,1,3,22K217,40.63398,-73.966558,14,40,526,3121072,3052320001,Flatbush                                                                   
KBLM,NYCEEC,K,"Salvation Army, Bedford",<p><strong>Alert</strong>: Program may have income or other eligibility requirements. Contact for more information.</p>,718-552-2690,110 Kosciusko St,11216,1,116,997939,190854,Sarah.Fay@USE.SalvationArmy.Org,3,http://ny.salvationarmy.org/greaternewyork/daycare-programs,3,1,13KBLM,40.690709,-73.950562,3,36,253,3049768,3017840011,Bedford                                                                    
